OrderID,Date,CustomerID,ProductName,Category,Quantity,UnitPrice,City,PaymentMethod,DeliveryTimeMinutes,Revenue
B00001,2024-10-21,C1106,Cheese,Dairy,2,158.73,Pune,COD,52,317.46
B00002,2024-10-09,C0899,Chips,Snacks,4,213.44,Mumbai,UPI,12,853.76
B00003,2024-03-21,C1129,Curd,Dairy,1,24.9,Pune,UPI,36,24.9
B00004,2024-11-02,C1213,Mango,Fruits,4,253.7,Delhi,Netbanking,14,1014.8
B00005,2024-05-13,C0993,Cheese,Dairy,3,253.62,Noida,Card,31,760.86
B00006,2024-04-25,C0563,Milk,Dairy,2,28.69,Noida,Netbanking,43,57.38
B00007,2024-06-15,C0624,Apple,Fruits,4,35.45,Hyderabad,UPI,18,141.8
B00008,2024-02-14,C0507,Paneer,Dairy,2,298.61,Chennai,Netbanking,59,597.22
B00009,2024-01-25,C1066,Tea,Beverages,3,98.78,Mumbai,COD,45,296.34000000000003
B00010,2024-12-24,C0216,Spinach,Vegetables,2,96.58,Delhi,COD,40,193.16
B00011,2024-08-14,C1466,Spinach,Vegetables,1,90.87,Chennai,UPI,50,90.87
B00012,2024-12-07,C0474,Curd,Dairy,1,196.5,Hyderabad,Netbanking,32,196.5
B00013,2024-01-05,C0079,Milk,Dairy,1,135.35,Bangalore,Netbanking,44,135.35
B00014,2024-10-02,C0133,Namkeen,Snacks,3,74.81,Bangalore,Netbanking,18,224.43
B00015,2024-06-29,C0203,Tea,Beverages,2,154.47,Pune,COD,20,308.94
B00016,2024-02-20,C0328,Spinach,Vegetables,2,279.41,Bangalore,UPI,44,558.82
B00017,2024-05-03,C1003,Milk,Dairy,1,172.87,Bangalore,Card,10,172.87
B00018,2024-07-30,C0344,Paneer,Dairy,1,67.8,Chennai,COD,45,67.8
B00019,2024-11-20,C0994,Soda,Beverages,4,31.01,Chennai,Card,23,124.04
B00020,2024-12-09,C1323,Onion,Vegetables,4,269.65,Bangalore,Netbanking,33,1078.6
B00021,2024-07-14,C0392,Chips,Snacks,2,150.53,Pune,Netbanking,49,301.06
B00022,2024-05-05,C0425,Cookies,Bakery,1,224.29,Gurgaon,COD,30,224.29
B00023,2024-03-16,C1415,Tomato,Vegetables,3,298.57,Hyderabad,Card,23,895.71
B00024,2024-09-17,C0712,Spinach,Vegetables,1,13.09,Mumbai,Card,55,13.09
B00025,2024-12-05,C0939,Mango,Fruits,4,265.72,Bangalore,COD,18,1062.88
B00026,2024-07-02,C1494,Cheese,Dairy,2,165.12,Pune,Netbanking,40,330.24
B00027,2024-07-10,C1462,Paneer,Dairy,4,156.92,Bangalore,UPI,34,627.68
B00028,2024-04-05,C1327,Biscuits,Snacks,3,262.03,Delhi,Card,32,786.0899999999999
B00029,2024-05-08,C1114,Juice,Beverages,4,131.87,Chennai,Card,44,527.48
B00030,2024-09-12,C0343,Croissant,Bakery,3,103.81,Chennai,UPI,22,311.43
B00031,2024-08-13,C0097,Croissant,Bakery,2,286.38,Mumbai,COD,17,572.76
B00032,2024-05-27,C1394,Popcorn,Snacks,2,205.45,Chennai,UPI,12,410.9
B00033,2024-01-09,C1032,Bread,Bakery,1,291.63,Pune,COD,19,291.63
B00034,2024-07-19,C0153,Popcorn,Snacks,3,233.36,Pune,UPI,26,700.08
B00035,2024-12-19,C0055,Soda,Beverages,5,280.06,Hyderabad,COD,19,1400.3
B00036,2024-12-01,C0698,Namkeen,Snacks,3,185.02,Mumbai,Card,36,555.0600000000001
B00037,2024-06-15,C1226,Banana,Fruits,5,209.82,Chennai,UPI,38,1049.1
B00038,2024-07-02,C1160,Tea,Beverages,1,206.24,Gurgaon,UPI,41,206.24
B00039,2024-01-30,C0751,Cookies,Bakery,2,223.14,Chennai,UPI,36,446.28
B00040,2024-01-12,C0653,Popcorn,Snacks,3,118.27,Hyderabad,COD,37,354.81
B00041,2024-04-17,C1377,Tomato,Vegetables,3,88.55,Gurgaon,UPI,28,265.65
B00042,2024-06-17,C0523,Apple,Fruits,5,85.83,Delhi,COD,47,429.15
B00043,2024-08-06,C1280,Spinach,Vegetables,5,109.91,Delhi,UPI,40,549.55
B00044,2024-08-27,C0857,Potato,Vegetables,2,280.5,Noida,Netbanking,28,561.0
B00045,2024-08-17,C0196,Orange,Fruits,3,253.79,Chennai,UPI,50,761.37
B00046,2024-10-08,C0714,Curd,Dairy,2,61.75,Delhi,Card,14,123.5
B00047,2024-06-16,C0416,Popcorn,Snacks,2,145.77,Gurgaon,Card,42,291.54
B00048,2024-06-15,C1257,Cookies,Bakery,4,44.74,Noida,UPI,48,178.96
B00049,2024-04-30,C0520,Soda,Beverages,3,243.84,Noida,UPI,51,731.52
B00050,2024-04-15,C1280,Bread,Bakery,1,143.65,Gurgaon,COD,12,143.65
B00051,2024-07-21,C0504,Onion,Vegetables,4,175.18,Chennai,Card,26,700.72
B00052,2024-10-17,C0670,Chips,Snacks,2,45.85,Mumbai,COD,50,91.7
B00053,2024-06-03,C0557,Cheese,Dairy,4,69.1,Delhi,UPI,34,276.4
B00054,2024-11-16,C0819,Mango,Fruits,5,208.71,Pune,UPI,54,1043.55
B00055,2024-12-09,C0743,Apple,Fruits,1,262.47,Hyderabad,Netbanking,12,262.47
B00056,2024-01-09,C1312,Mango,Fruits,2,64.34,Bangalore,Card,37,128.68
B00057,2024-02-20,C0907,Juice,Beverages,3,114.22,Delhi,UPI,59,342.65999999999997
B00058,2024-09-17,C0103,Orange,Fruits,2,256.71,Chennai,COD,13,513.42
B00059,2024-06-23,C0550,Coffee,Beverages,1,155.23,Hyderabad,UPI,37,155.23
B00060,2024-02-08,C0387,Potato,Vegetables,5,130.01,Hyderabad,Netbanking,31,650.05
B00061,2024-09-18,C0595,Tomato,Vegetables,3,70.04,Noida,Card,53,210.12
B00062,2024-03-11,C0030,Orange,Fruits,2,175.84,Pune,Netbanking,45,351.68
B00063,2024-09-29,C0370,Milk,Dairy,5,144.34,Gurgaon,Card,15,721.7
B00064,2024-09-29,C0096,Croissant,Bakery,5,116.07,Gurgaon,Netbanking,40,580.3499999999999
B00065,2024-02-26,C1004,Coffee,Beverages,1,294.45,Pune,Card,45,294.45
B00066,2024-06-25,C0840,Chips,Snacks,3,292.95,Mumbai,Netbanking,51,878.8499999999999
B00067,2024-01-22,C0399,Soda,Beverages,2,244.1,Noida,Netbanking,16,488.2
B00068,2024-03-05,C1362,Cake,Bakery,2,40.51,Mumbai,Netbanking,44,81.02
B00069,2024-10-06,C0742,Cookies,Bakery,1,135.29,Gurgaon,UPI,47,135.29
B00070,2024-07-15,C1036,Soda,Beverages,3,145.57,Pune,UPI,29,436.71
B00071,2024-07-28,C0398,Curd,Dairy,2,78.59,Delhi,COD,35,157.18
B00072,2024-04-21,C1114,Namkeen,Snacks,4,125.38,Bangalore,Card,20,501.52
B00073,2024-02-15,C1000,Orange,Fruits,1,280.82,Chennai,Card,51,280.82
B00074,2024-10-10,C0997,Potato,Vegetables,3,232.33,Chennai,Card,17,696.99
B00075,2024-02-03,C0232,Biscuits,Snacks,1,236.93,Gurgaon,UPI,22,236.93
B00076,2024-09-29,C0982,Cake,Bakery,1,42.79,Pune,COD,52,42.79
B00077,2024-07-12,C0712,Paneer,Dairy,1,254.2,Bangalore,Netbanking,56,254.2
B00078,2024-01-22,C0572,Biscuits,Snacks,1,12.2,Hyderabad,COD,60,12.2
B00079,2024-04-06,C0716,Spinach,Vegetables,2,128.3,Mumbai,Netbanking,53,256.6
B00080,2024-09-05,C0798,Popcorn,Snacks,2,213.43,Bangalore,Card,53,426.86
B00081,2024-05-15,C0446,Tea,Beverages,1,290.91,Pune,COD,43,290.91
B00082,2024-08-11,C0765,Milk,Dairy,2,20.17,Hyderabad,UPI,34,40.34
B00083,2024-12-18,C0299,Juice,Beverages,3,277.52,Hyderabad,COD,60,832.56
B00084,2024-01-31,C0336,Bread,Bakery,1,117.4,Chennai,Card,11,117.4
B00085,2024-03-23,C1348,Bread,Bakery,2,289.78,Gurgaon,Netbanking,22,579.56
B00086,2024-05-06,C1284,Orange,Fruits,5,201.6,Bangalore,UPI,60,1008.0
B00087,2024-04-23,C0331,Apple,Fruits,5,103.48,Bangalore,Card,32,517.4
B00088,2024-02-19,C1482,Banana,Fruits,3,202.35,Chennai,UPI,15,607.05
B00089,2024-02-26,C0574,Milk,Dairy,2,91.57,Mumbai,Netbanking,36,183.14
B00090,2024-07-26,C0068,Curd,Dairy,1,200.08,Delhi,Card,42,200.08
B00091,2024-09-13,C0729,Paneer,Dairy,4,62.86,Delhi,Netbanking,26,251.44
B00092,2024-12-26,C0617,Apple,Fruits,1,159.56,Noida,Netbanking,57,159.56
B00093,2024-07-12,C0274,Onion,Vegetables,4,84.34,Gurgaon,COD,14,337.36
B00094,2024-12-11,C0646,Biscuits,Snacks,4,159.74,Mumbai,Card,45,638.96
B00095,2024-04-08,C1181,Banana,Fruits,5,135.44,Bangalore,Card,37,677.2
B00096,2024-10-14,C0228,Namkeen,Snacks,1,241.93,Pune,COD,16,241.93
B00097,2024-08-14,C1109,Tea,Beverages,1,74.79,Bangalore,Netbanking,26,74.79
B00098,2024-06-12,C1500,Tomato,Vegetables,4,293.86,Gurgaon,Card,57,1175.44
B00099,2024-12-20,C0792,Orange,Fruits,3,172.29,Mumbai,Card,54,516.87
B00100,2024-05-07,C1143,Onion,Vegetables,4,158.2,Noida,UPI,49,632.8
B00101,2024-04-15,C0083,Cookies,Bakery,3,256.08,Bangalore,UPI,20,768.24
B00102,2024-04-27,C1316,Chips,Snacks,2,273.19,Bangalore,COD,33,546.38
B00103,2024-11-29,C0984,Paneer,Dairy,1,234.98,Chennai,COD,60,234.98
B00104,2024-06-26,C0328,Cheese,Dairy,4,118.69,Mumbai,UPI,22,474.76
B00105,2024-02-05,C1071,Milk,Dairy,2,174.85,Mumbai,Card,59,349.7
B00106,2024-07-21,C1189,Biscuits,Snacks,1,131.9,Gurgaon,Netbanking,33,131.9
B00107,2024-10-26,C0235,Juice,Beverages,3,81.51,Bangalore,UPI,33,244.53000000000003
B00108,2024-01-09,C0086,Potato,Vegetables,1,252.85,Chennai,COD,12,252.85
B00109,2024-03-26,C1189,Potato,Vegetables,5,35.31,Gurgaon,COD,23,176.55
B00110,2024-07-26,C0253,Apple,Fruits,5,194.09,Bangalore,Card,39,970.45
B00111,2024-09-26,C1319,Soda,Beverages,4,158.75,Noida,COD,29,635.0
B00112,2024-07-02,C0807,Chips,Snacks,3,114.36,Delhi,COD,13,343.08
B00113,2024-08-20,C0932,Soda,Beverages,3,241.72,Bangalore,Card,10,725.16
B00114,2024-04-30,C1467,Biscuits,Snacks,2,220.3,Chennai,COD,27,440.6
B00115,2024-07-26,C0573,Spinach,Vegetables,3,180.08,Gurgaon,COD,16,540.24
B00116,2024-09-25,C0877,Tomato,Vegetables,4,285.91,Bangalore,UPI,18,1143.64
B00117,2024-11-15,C0762,Tomato,Vegetables,5,177.65,Bangalore,COD,58,888.25
B00118,2024-02-18,C0160,Potato,Vegetables,3,93.29,Bangalore,UPI,30,279.87
B00119,2024-05-08,C1090,Tea,Beverages,2,55.01,Bangalore,Netbanking,56,110.02
B00120,2024-04-20,C0170,Orange,Fruits,1,207.28,Pune,Card,57,207.28
B00121,2024-10-02,C0824,Mango,Fruits,1,106.57,Chennai,Netbanking,39,106.57
B00122,2024-11-27,C0744,Biscuits,Snacks,5,247.96,Delhi,Netbanking,50,1239.8
B00123,2024-06-21,C1148,Namkeen,Snacks,5,83.5,Gurgaon,COD,18,417.5
B00124,2024-09-06,C1340,Coffee,Beverages,4,294.95,Noida,Card,19,1179.8
B00125,2024-09-26,C1137,Paneer,Dairy,2,146.24,Pune,UPI,56,292.48
B00126,2024-07-06,C0178,Tomato,Vegetables,4,89.9,Pune,Netbanking,40,359.6
B00127,2024-11-23,C0279,Tomato,Vegetables,2,176.99,Mumbai,Card,43,353.98
B00128,2024-04-04,C0036,Orange,Fruits,1,159.4,Delhi,UPI,42,159.4
B00129,2024-05-04,C0119,Tomato,Vegetables,4,69.58,Gurgaon,Card,49,278.32
B00130,2024-04-01,C1279,Croissant,Bakery,2,208.25,Hyderabad,UPI,49,416.5
B00131,2024-06-03,C1142,Namkeen,Snacks,4,127.87,Hyderabad,Netbanking,47,511.48
B00132,2024-01-08,C0043,Apple,Fruits,1,158.45,Chennai,Netbanking,27,158.45
B00133,2024-06-05,C0448,Coffee,Beverages,4,63.71,Hyderabad,COD,53,254.84
B00134,2024-03-31,C0913,Paneer,Dairy,4,276.56,Gurgaon,UPI,18,1106.24
B00135,2024-04-03,C0715,Banana,Fruits,1,137.75,Delhi,UPI,28,137.75
B00136,2024-07-15,C1099,Cookies,Bakery,4,107.63,Noida,Card,59,430.52
B00137,2024-10-19,C1267,Juice,Beverages,1,58.58,Noida,COD,33,58.58
B00138,2024-10-09,C0644,Apple,Fruits,2,116.98,Delhi,COD,21,233.96
B00139,2024-04-10,C1485,Namkeen,Snacks,2,128.58,Noida,Card,57,257.16
B00140,2024-09-18,C0887,Apple,Fruits,3,23.65,Delhi,Netbanking,27,70.94999999999999
B00141,2024-07-16,C1119,Coffee,Beverages,3,36.43,Bangalore,UPI,10,109.28999999999999
B00142,2024-01-26,C0010,Curd,Dairy,2,26.52,Mumbai,COD,42,53.04
B00143,2024-02-16,C0724,Popcorn,Snacks,4,87.17,Hyderabad,Netbanking,31,348.68
B00144,2024-04-15,C0511,Cookies,Bakery,2,70.82,Bangalore,UPI,10,141.64
B00145,2024-10-19,C0892,Croissant,Bakery,3,211.23,Delhi,Card,27,633.6899999999999
B00146,2024-08-14,C0528,Cookies,Bakery,2,238.14,Gurgaon,Netbanking,30,476.28
B00147,2024-03-31,C0561,Bread,Bakery,5,25.63,Noida,Netbanking,48,128.15
B00148,2024-03-10,C0976,Tea,Beverages,5,152.89,Hyderabad,Netbanking,27,764.4499999999999
B00149,2024-07-08,C0901,Orange,Fruits,3,61.47,Pune,COD,21,184.41
B00150,2024-08-30,C1072,Potato,Vegetables,4,18.13,Gurgaon,COD,57,72.52
B00151,2024-02-19,C1474,Spinach,Vegetables,4,257.36,Bangalore,COD,29,1029.44
B00152,2024-02-09,C0388,Cookies,Bakery,3,113.86,Pune,Netbanking,55,341.58
B00153,2024-02-05,C0097,Namkeen,Snacks,2,259.36,Pune,Netbanking,43,518.72
B00154,2024-11-18,C0580,Chips,Snacks,3,91.3,Noida,Netbanking,22,273.9
B00155,2024-01-14,C0519,Cookies,Bakery,5,127.69,Gurgaon,Card,49,638.45
